Batalha,Turno,Meu,Meu_Papel,Meu_HP,Adversario,Papel_Adv,HP_Adv,Matchup,Decisao,HP_Equipa_Meu,HP_Equipa_Adv
battle-gen9nationaldex-10651542,101,latias,TANK,0.94,toxapex,TANK,1.00,OFFENSIVE_ADV,defog,0.94,1.00
battle-gen9nationaldex-10651542,102,latias,TANK,0.94,toxapex,TANK,1.00,OFFENSIVE_ADV,struggle,0.94,1.00
battle-gen9nationaldex-10651542,103,latias,TANK,0.69,toxapex,TANK,1.00,OFFENSIVE_ADV,struggle,0.69,1.00
battle-gen9nationaldex-10651542,104,latias,TANK,0.44,toxapex,TANK,1.00,OFFENSIVE_ADV,struggle,0.44,1.00
battle-gen9nationaldex-10651542,105,latias,TANK,0.19,toxapex,TANK,1.00,OFFENSIVE_ADV,struggle,0.19,1.00
battle-gen9nationaldex-10651577,104,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,toxic,1.00,1.00
battle-gen9nationaldex-10651577,105,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,toxic,1.00,1.00
battle-gen9nationaldex-10651577,106,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,toxic,1.00,1.00
battle-gen9nationaldex-10651577,107,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,struggle,1.00,1.00
battle-gen9nationaldex-10651577,108,steelix,TANK,0.81,steelix,TANK,1.00,CRITICAL_DIS,struggle,0.81,1.00
battle-gen9nationaldex-10651577,109,steelix,TANK,0.62,steelix,TANK,1.00,CRITICAL_DIS,struggle,0.62,1.00
battle-gen9nationaldex-10651577,110,steelix,TANK,0.43,steelix,TANK,1.00,CRITICAL_DIS,struggle,0.43,1.00
battle-gen9nationaldex-10651577,111,steelix,TANK,0.24,steelix,TANK,1.00,CRITICAL_DIS,struggle,0.24,1.00
battle-gen9nationaldex-10651582,84,gliscor,TANK,1.00,drifblim,TANK,1.00,OFFENSIVE_DIS,earthquake,1.00,1.00
battle-gen9nationaldex-10651582,85,gliscor,TANK,0.78,drifblim,TANK,1.00,OFFENSIVE_DIS,roost,0.78,1.00
battle-gen9nationaldex-10651582,86,gliscor,TANK,0.99,drifblim,TANK,1.00,OFFENSIVE_DIS,earthquake,0.99,1.00
battle-gen9nationaldex-10651582,87,gliscor,TANK,0.75,drifblim,TANK,1.00,OFFENSIVE_DIS,roost,0.75,1.00
battle-gen9nationaldex-10651582,88,gliscor,TANK,0.98,drifblim,TANK,1.00,OFFENSIVE_DIS,earthquake,0.98,1.00
battle-gen9nationaldex-10651582,89,gliscor,TANK,0.75,drifblim,TANK,1.00,OFFENSIVE_DIS,earthquake,0.75,1.00
battle-gen9nationaldex-10651582,90,gliscor,TANK,0.53,drifblim,TANK,1.00,OFFENSIVE_DIS,earthquake,0.53,1.00
battle-gen9nationaldex-10651582,91,gliscor,TANK,0.26,drifblim,TANK,1.00,OFFENSIVE_DIS,earthquake,0.26,1.00
battle-gen9nationaldex-10651591,993,necrozma,TANK,1.00,heatran,TANK,1.00,OFFENSIVE_ADV,SWITCH->moltres,2.91,3.00
battle-gen9nationaldex-10651591,994,moltres,TANK,0.91,arctozolt,TANK,1.00,VOLATILE,SWITCH->necrozma,2.91,3.00
battle-gen9nationaldex-10651591,995,necrozma,TANK,1.00,heatran,TANK,1.00,OFFENSIVE_ADV,SWITCH->moltres,2.91,3.00
battle-gen9nationaldex-10651591,996,moltres,TANK,0.91,arctozolt,TANK,1.00,VOLATILE,SWITCH->necrozma,2.91,3.00
battle-gen9nationaldex-10651591,997,necrozma,TANK,1.00,heatran,TANK,1.00,OFFENSIVE_ADV,SWITCH->moltres,2.91,3.00
battle-gen9nationaldex-10651591,998,moltres,TANK,0.91,arctozolt,TANK,1.00,VOLATILE,SWITCH->necrozma,2.91,3.00
battle-gen9nationaldex-10651591,999,necrozma,TANK,1.00,heatran,TANK,1.00,OFFENSIVE_ADV,SWITCH->moltres,2.91,3.00
battle-gen9nationaldex-10651591,1000,moltres,TANK,0.91,arctozolt,TANK,1.00,VOLATILE,SWITCH->necrozma,2.91,3.00
battle-gen9nationaldex-10651615,98,toxapex,TANK,1.00,hydreigon,TANK,0.78,OFFENSIVE_DIS,haze,1.00,0.78
battle-gen9nationaldex-10651615,99,toxapex,TANK,1.00,hydreigon,TANK,0.78,OFFENSIVE_DIS,haze,1.00,0.78
battle-gen9nationaldex-10651615,100,toxapex,TANK,1.00,hydreigon,TANK,0.78,OFFENSIVE_DIS,haze,1.00,0.78
battle-gen9nationaldex-10651615,101,toxapex,TANK,1.00,hydreigon,TANK,0.78,OFFENSIVE_DIS,haze,1.00,0.78
battle-gen9nationaldex-10651615,102,toxapex,TANK,1.00,hydreigon,TANK,0.78,OFFENSIVE_DIS,haze,1.00,0.78
battle-gen9nationaldex-10651615,103,toxapex,TANK,1.00,hydreigon,TANK,0.53,OFFENSIVE_DIS,haze,1.00,0.53
battle-gen9nationaldex-10651615,104,toxapex,TANK,1.00,hydreigon,TANK,0.28,OFFENSIVE_DIS,toxic,1.00,0.28
battle-gen9nationaldex-10651615,105,toxapex,TANK,1.00,hydreigon,TANK,0.03,OFFENSIVE_DIS,toxic,1.00,0.03
battle-gen9nationaldex-10651677,111,heatran,TANK,1.00,amoonguss,TANK,1.00,DOMINANT,SWITCH->gliscor,3.00,1.00
battle-gen9nationaldex-10651677,112,gliscor,TANK,1.00,amoonguss,TANK,1.00,NEUTRAL,SWITCH->slowbro,3.00,1.00
battle-gen9nationaldex-10651677,113,slowbro,TANK,0.83,amoonguss,TANK,1.00,VOLATILE,teleport,2.83,1.00
battle-gen9nationaldex-10651677,113,slowbro,TANK,0.69,amoonguss,TANK,1.00,VOLATILE,SWITCH->heatran,2.69,1.00
battle-gen9nationaldex-10651677,114,heatran,TANK,1.00,amoonguss,TANK,1.00,DOMINANT,SWITCH->slowbro,3.00,1.00
battle-gen9nationaldex-10651677,115,slowbro,TANK,0.95,amoonguss,TANK,0.65,VOLATILE,teleport,2.95,0.65
battle-gen9nationaldex-10651677,115,slowbro,TANK,0.90,amoonguss,TANK,0.23,VOLATILE,SWITCH->heatran,2.90,0.23
battle-gen9nationaldex-10651677,116,heatran,TANK,1.00,amoonguss,TANK,0.30,DOMINANT,magmastorm,3.00,0.30
battle-gen9nationaldex-10651711,104,zapdos,TANK,0.78,toxapex,TANK,1.00,OFFENSIVE_ADV,roost,0.78,2.00
battle-gen9nationaldex-10651711,105,zapdos,TANK,0.78,toxapex,TANK,1.00,OFFENSIVE_ADV,roost,0.78,2.00
battle-gen9nationaldex-10651711,106,zapdos,TANK,0.76,toxapex,TANK,1.00,OFFENSIVE_ADV,roost,0.76,2.00
battle-gen9nationaldex-10651711,107,zapdos,TANK,0.78,toxapex,TANK,1.00,OFFENSIVE_ADV,hurricane,0.78,2.00
battle-gen9nationaldex-10651711,108,zapdos,TANK,0.55,toxapex,TANK,0.63,OFFENSIVE_ADV,hurricane,0.55,1.63
battle-gen9nationaldex-10651711,109,zapdos,TANK,0.49,toxapex,TANK,0.26,OFFENSIVE_ADV,hurricane,0.49,1.26
battle-gen9nationaldex-10651711,110,zapdos,TANK,0.43,zapdos,TANK,1.00,NEUTRAL,thunder,0.43,1.00
battle-gen9nationaldex-10651711,111,zapdos,TANK,0.15,zapdos,TANK,1.00,NEUTRAL,thunder,0.15,1.00
battle-gen9nationaldex-10651733,119,rotomwash,TANK,0.94,rotomwash,TANK,1.00,NEUTRAL,SWITCH->seismitoad,2.80,1.00
battle-gen9nationaldex-10651733,120,seismitoad,TANK,0.86,rotomwash,TANK,1.00,OFFENSIVE_ADV,SWITCH->amoonguss,2.80,1.00
battle-gen9nationaldex-10651733,121,amoonguss,TANK,0.85,rotomwash,TANK,1.00,DOMINANT,SWITCH->seismitoad,2.65,1.00
battle-gen9nationaldex-10651733,122,seismitoad,TANK,0.86,rotomwash,TANK,1.00,OFFENSIVE_ADV,SWITCH->rotomwash,2.80,1.00
battle-gen9nationaldex-10651733,123,rotomwash,TANK,0.89,rotomwash,TANK,0.82,NEUTRAL,SWITCH->seismitoad,2.75,0.82
battle-gen9nationaldex-10651733,124,seismitoad,TANK,0.79,rotomwash,TANK,0.63,OFFENSIVE_ADV,SWITCH->amoonguss,2.68,0.63
battle-gen9nationaldex-10651733,125,amoonguss,TANK,0.94,rotomwash,TANK,0.44,DOMINANT,SWITCH->seismitoad,2.62,0.44
battle-gen9nationaldex-10651733,126,seismitoad,TANK,0.72,rotomwash,TANK,0.25,OFFENSIVE_ADV,sludgewave,2.61,0.25
battle-gen9nationaldex-10651739,110,skarmory,TANK,1.00,gliscor,TANK,1.00,STALEMATE,spikes,1.00,1.00
battle-gen9nationaldex-10651739,111,skarmory,TANK,1.00,gliscor,TANK,1.00,STALEMATE,spikes,1.00,1.00
battle-gen9nationaldex-10651739,112,skarmory,TANK,0.98,gliscor,TANK,0.88,STALEMATE,spikes,0.98,0.88
battle-gen9nationaldex-10651739,113,skarmory,TANK,0.96,gliscor,TANK,0.75,STALEMATE,spikes,0.96,0.75
battle-gen9nationaldex-10651739,114,skarmory,TANK,0.94,gliscor,TANK,0.63,STALEMATE,spikes,0.94,0.63
battle-gen9nationaldex-10651739,115,skarmory,TANK,0.92,gliscor,TANK,0.50,STALEMATE,spikes,0.92,0.50
battle-gen9nationaldex-10651739,116,skarmory,TANK,0.90,gliscor,TANK,0.38,STALEMATE,spikes,0.90,0.38
battle-gen9nationaldex-10651739,117,skarmory,TANK,0.87,gliscor,TANK,0.25,STALEMATE,spikes,0.87,0.25
battle-gen9nationaldex-10651745,85,articuno,TANK,0.81,tapubulu,TANK,1.00,OFFENSIVE_ADV,roost,0.81,1.00
battle-gen9nationaldex-10651745,86,articuno,TANK,0.59,tapubulu,TANK,1.00,OFFENSIVE_ADV,freezedry,0.59,1.00
battle-gen9nationaldex-10651745,87,articuno,TANK,0.13,tapubulu,TANK,0.67,OFFENSIVE_ADV,freezedry,0.13,0.67
battle-gen9nationaldex-10651745,88,articuno,TANK,0.02,tapubulu,TANK,0.34,OFFENSIVE_ADV,freezedry,0.02,0.34
battle-gen9nationaldex-10651745,89,articuno,TANK,0.02,tapubulu,TANK,0.40,OFFENSIVE_ADV,freezedry,0.02,0.40
battle-gen9nationaldex-10651745,90,articuno,TANK,0.02,tapubulu,TANK,0.46,OFFENSIVE_ADV,freezedry,0.02,0.46
battle-gen9nationaldex-10651745,91,articuno,TANK,0.02,tapubulu,TANK,0.08,OFFENSIVE_ADV,freezedry,0.02,0.08
battle-gen9nationaldex-10651745,92,articuno,TANK,0.02,tapubulu,TANK,0.14,OFFENSIVE_ADV,freezedry,0.02,0.14
battle-gen9nationaldex-10651754,89,altaria,TANK,0.26,deoxysdefense,TANK,0.42,NEUTRAL,SWITCH->regirock,1.31,1.33
battle-gen9nationaldex-10651754,90,regirock,TANK,0.87,deoxysdefense,TANK,0.42,OFFENSIVE_DIS,SWITCH->altaria,1.25,1.33
battle-gen9nationaldex-10651754,91,altaria,TANK,0.01,deoxysdefense,TANK,0.42,NEUTRAL,SWITCH->oinkologne,1.00,1.33
battle-gen9nationaldex-10651754,91,oinkologne,TANK,0.00,deoxysdefense,TANK,0.42,NEUTRAL,SWITCH->regirock,0.88,1.33
battle-gen9nationaldex-10651754,92,regirock,TANK,0.75,deoxysdefense,TANK,0.42,OFFENSIVE_DIS,SWITCH->altaria,0.76,1.33
battle-gen9nationaldex-10651754,92,altaria,TANK,0.00,deoxysdefense,TANK,0.93,NEUTRAL,SWITCH->regirock,0.75,1.84
battle-gen9nationaldex-10651754,93,regirock,TANK,0.63,deoxysdefense,TANK,0.93,OFFENSIVE_DIS,stealthrock,0.63,1.84
battle-gen9nationaldex-10651754,94,regirock,TANK,0.69,venusaur,TANK,0.91,CRITICAL_DIS,stealthrock,0.69,1.84
battle-gen9nationaldex-10651759,993,reuniclus,TANK,0.63,clefable,TANK,0.59,NEUTRAL,SWITCH->gliscor,2.88,2.59
battle-gen9nationaldex-10651759,994,gliscor,TANK,1.00,toxapex,TANK,1.00,VOLATILE,SWITCH->reuniclus,2.88,2.59
battle-gen9nationaldex-10651759,995,reuniclus,TANK,0.63,clefable,TANK,0.59,NEUTRAL,SWITCH->gliscor,2.88,2.59
battle-gen9nationaldex-10651759,996,gliscor,TANK,1.00,toxapex,TANK,1.00,VOLATILE,SWITCH->reuniclus,2.88,2.59
battle-gen9nationaldex-10651759,997,reuniclus,TANK,0.63,clefable,TANK,0.59,NEUTRAL,SWITCH->gliscor,2.88,2.59
battle-gen9nationaldex-10651759,998,gliscor,TANK,1.00,toxapex,TANK,1.00,VOLATILE,SWITCH->reuniclus,2.88,2.59
battle-gen9nationaldex-10651759,999,reuniclus,TANK,0.63,clefable,TANK,0.59,NEUTRAL,SWITCH->gliscor,2.88,2.59
battle-gen9nationaldex-10651759,1000,gliscor,TANK,1.00,toxapex,TANK,1.00,VOLATILE,SWITCH->reuniclus,2.88,2.59
battle-gen9nationaldex-10651814,100,mandibuzz,TANK,1.00,gliscor,TANK,0.83,NEUTRAL,foulplay,3.81,0.83
battle-gen9nationaldex-10651814,101,mandibuzz,TANK,1.00,gliscor,TANK,0.76,NEUTRAL,foulplay,3.81,0.76
battle-gen9nationaldex-10651814,102,mandibuzz,TANK,1.00,gliscor,TANK,0.69,NEUTRAL,foulplay,3.81,0.69
battle-gen9nationaldex-10651814,103,mandibuzz,TANK,1.00,gliscor,TANK,0.60,NEUTRAL,foulplay,3.81,0.60
battle-gen9nationaldex-10651814,104,mandibuzz,TANK,1.00,gliscor,TANK,0.53,NEUTRAL,foulplay,3.81,0.53
battle-gen9nationaldex-10651814,105,mandibuzz,TANK,1.00,gliscor,TANK,0.45,NEUTRAL,foulplay,3.81,0.45
battle-gen9nationaldex-10651814,106,mandibuzz,TANK,1.00,gliscor,TANK,0.24,NEUTRAL,foulplay,3.81,0.24
battle-gen9nationaldex-10651814,107,mandibuzz,TANK,1.00,gliscor,TANK,0.16,NEUTRAL,foulplay,3.81,0.16
battle-gen9nationaldex-10651823,78,hydreigon,TANK,1.00,gliscor,TANK,0.95,NEUTRAL,SWITCH->gliscor,2.14,0.95
battle-gen9nationaldex-10651823,79,gliscor,TANK,1.00,gliscor,TANK,1.00,OFFENSIVE_DIS,uturn,2.14,1.00
battle-gen9nationaldex-10651823,79,gliscor,TANK,0.92,gliscor,TANK,0.70,OFFENSIVE_DIS,SWITCH->hydreigon,2.06,0.70
battle-gen9nationaldex-10651823,80,hydreigon,TANK,1.00,gliscor,TANK,0.82,NEUTRAL,uturn,2.06,0.82
battle-gen9nationaldex-10651823,80,hydreigon,TANK,1.00,gliscor,TANK,0.76,NEUTRAL,SWITCH->gliscor,2.06,0.76
battle-gen9nationaldex-10651823,81,gliscor,TANK,0.97,gliscor,TANK,0.63,OFFENSIVE_DIS,SWITCH->hydreigon,2.11,0.63
battle-gen9nationaldex-10651823,82,hydreigon,TANK,0.87,gliscor,TANK,0.51,NEUTRAL,dracometeor,1.98,0.51
battle-gen9nationaldex-10651823,83,hydreigon,TANK,0.76,gliscor,TANK,0.38,NEUTRAL,dracometeor,1.87,0.38
battle-gen9nationaldex-10651848,114,gliscor,TANK,1.00,landorustherian,SWEEPER,1.00,OFFENSIVE_DIS,stealthrock,1.00,1.00
battle-gen9nationaldex-10651848,115,gliscor,TANK,1.00,landorustherian,SWEEPER,1.00,OFFENSIVE_DIS,stealthrock,1.00,1.00
battle-gen9nationaldex-10651848,116,gliscor,TANK,1.00,landorustherian,SWEEPER,1.00,OFFENSIVE_DIS,stealthrock,1.00,1.00
battle-gen9nationaldex-10651848,117,gliscor,TANK,1.00,landorustherian,SWEEPER,1.00,OFFENSIVE_DIS,stealthrock,1.00,1.00
battle-gen9nationaldex-10651848,118,gliscor,TANK,1.00,landorustherian,SWEEPER,0.82,OFFENSIVE_DIS,stealthrock,1.00,0.82
battle-gen9nationaldex-10651848,119,gliscor,TANK,1.00,landorustherian,SWEEPER,0.63,OFFENSIVE_DIS,stealthrock,1.00,0.63
battle-gen9nationaldex-10651848,120,gliscor,TANK,1.00,landorustherian,SWEEPER,0.44,OFFENSIVE_DIS,stealthrock,1.00,0.44
battle-gen9nationaldex-10651848,121,gliscor,TANK,1.00,landorustherian,SWEEPER,0.25,OFFENSIVE_DIS,stealthrock,1.00,0.25
battle-gen9nationaldex-10651851,993,hydreigon,TANK,0.85,piloswine,TANK,1.00,VOLATILE,SWITCH->heatran,1.99,2.00
battle-gen9nationaldex-10651851,994,heatran,TANK,0.47,articuno,TANK,1.00,DOMINANT,SWITCH->hydreigon,1.99,2.00
battle-gen9nationaldex-10651851,995,hydreigon,TANK,0.85,piloswine,TANK,1.00,VOLATILE,SWITCH->heatran,1.99,2.00
battle-gen9nationaldex-10651851,996,heatran,TANK,0.47,articuno,TANK,1.00,DOMINANT,SWITCH->hydreigon,1.99,2.00
battle-gen9nationaldex-10651851,997,hydreigon,TANK,0.85,piloswine,TANK,1.00,VOLATILE,SWITCH->heatran,1.99,2.00
battle-gen9nationaldex-10651851,998,heatran,TANK,0.47,articuno,TANK,1.00,DOMINANT,SWITCH->hydreigon,1.99,2.00
battle-gen9nationaldex-10651851,999,hydreigon,TANK,0.85,piloswine,TANK,1.00,VOLATILE,SWITCH->heatran,1.99,2.00
battle-gen9nationaldex-10651851,1000,heatran,TANK,0.47,articuno,TANK,1.00,DOMINANT,SWITCH->hydreigon,1.99,2.00
battle-gen9nationaldex-10651878,89,toxapex,TANK,0.71,poliwrath,TANK,0.50,OFFENSIVE_DIS,haze,0.71,0.50
battle-gen9nationaldex-10651878,90,toxapex,TANK,0.53,poliwrath,TANK,0.50,OFFENSIVE_DIS,haze,0.53,0.50
battle-gen9nationaldex-10651878,91,toxapex,TANK,0.43,poliwrath,TANK,0.50,OFFENSIVE_DIS,haze,0.43,0.50
battle-gen9nationaldex-10651878,92,toxapex,TANK,0.33,poliwrath,TANK,0.50,OFFENSIVE_DIS,haze,0.33,0.50
battle-gen9nationaldex-10651878,93,toxapex,TANK,0.29,poliwrath,TANK,0.55,OFFENSIVE_DIS,haze,0.29,0.55
battle-gen9nationaldex-10651878,94,toxapex,TANK,0.25,poliwrath,TANK,0.60,OFFENSIVE_DIS,haze,0.25,0.60
battle-gen9nationaldex-10651878,95,toxapex,TANK,0.21,poliwrath,TANK,0.35,OFFENSIVE_DIS,haze,0.21,0.35
battle-gen9nationaldex-10651878,96,toxapex,TANK,0.19,poliwrath,TANK,0.10,OFFENSIVE_DIS,haze,0.19,0.10
battle-gen9nationaldex-10651882,993,whiscash,TANK,0.42,porygon2,TANK,1.00,NEUTRAL,SWITCH->deoxysdefense,0.96,2.00
battle-gen9nationaldex-10651882,994,deoxysdefense,TANK,0.53,ursaluna,TANK,1.00,OFFENSIVE_DIS,SWITCH->whiscash,0.96,2.00
battle-gen9nationaldex-10651882,995,whiscash,TANK,0.42,porygon2,TANK,1.00,NEUTRAL,SWITCH->deoxysdefense,0.96,2.00
battle-gen9nationaldex-10651882,996,deoxysdefense,TANK,0.53,ursaluna,TANK,1.00,OFFENSIVE_DIS,SWITCH->whiscash,0.96,2.00
battle-gen9nationaldex-10651882,997,whiscash,TANK,0.42,porygon2,TANK,1.00,NEUTRAL,SWITCH->deoxysdefense,0.96,2.00
battle-gen9nationaldex-10651882,998,deoxysdefense,TANK,0.53,ursaluna,TANK,1.00,OFFENSIVE_DIS,SWITCH->whiscash,0.96,2.00
battle-gen9nationaldex-10651882,999,whiscash,TANK,0.42,porygon2,TANK,1.00,NEUTRAL,SWITCH->deoxysdefense,0.96,2.00
battle-gen9nationaldex-10651882,1000,deoxysdefense,TANK,0.53,ursaluna,TANK,1.00,OFFENSIVE_DIS,SWITCH->whiscash,0.96,2.00
battle-gen9nationaldex-10651895,81,audino,TANK,1.00,scizormega,UTILITY,1.00,NEUTRAL,healbell,1.00,2.50
battle-gen9nationaldex-10651895,82,audino,TANK,1.00,omastar,TANK,0.45,NEUTRAL,healbell,1.00,2.50
battle-gen9nationaldex-10651895,83,audino,TANK,1.00,amoonguss,TANK,1.00,NEUTRAL,healbell,1.00,2.50
battle-gen9nationaldex-10651895,84,audino,TANK,1.00,scizormega,UTILITY,1.00,NEUTRAL,struggle,1.00,2.50
battle-gen9nationaldex-10651895,85,audino,TANK,0.75,omastar,TANK,0.37,NEUTRAL,struggle,0.75,2.42
battle-gen9nationaldex-10651895,86,audino,TANK,0.50,scizormega,UTILITY,0.96,NEUTRAL,struggle,0.50,2.38
battle-gen9nationaldex-10651895,87,audino,TANK,0.25,amoonguss,TANK,0.94,NEUTRAL,struggle,0.25,2.32
battle-gen9nationaldex-10651895,88,audino,TANK,0.00,scizormega,UTILITY,0.91,NEUTRAL,struggle,0.00,2.27
battle-gen9nationaldex-10651896,85,slowbro,TANK,0.94,toxapex,TANK,0.83,OFFENSIVE_ADV,SWITCH->corviknight,2.94,0.83
battle-gen9nationaldex-10651896,86,corviknight,TANK,1.00,toxapex,TANK,0.83,NEUTRAL,SWITCH->slowbro,3.00,0.83
battle-gen9nationaldex-10651896,87,slowbro,TANK,0.94,toxapex,TANK,0.83,OFFENSIVE_ADV,scald,2.94,0.83
battle-gen9nationaldex-10651896,88,slowbro,TANK,0.88,toxapex,TANK,0.71,OFFENSIVE_ADV,scald,2.88,0.71
battle-gen9nationaldex-10651896,89,slowbro,TANK,0.82,toxapex,TANK,0.61,OFFENSIVE_ADV,scald,2.82,0.61
