Batalha,Turnos,Resultado,Meu_Time,Time_Adversario,Meus_Papeis,Papeis_Adversario
battle-gen9nationaldex-10651878,96,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,poliwrath/breloom/sandslash/hypno/medicham/granbull,TANK/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651882,1000,EMPATE,whiscash/zeraora/deoxysdefense/garchomp/latios/mawile,cresselia/hatterene/camerupt/porygon2/kingambit/ursaluna,TANK/UTIL/TANK/TANK/UTIL/TANK,TANK/UTIL/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651895,88,DERROTA,audino/melmetal/landorustherian/urshifurapidstrike/kartana/latios,rotomwash/pelipper/seismitoad/scizormega/omastar/amoonguss,TANK/TANK/SWEE/UTIL/SWEE/UTIL,TANK/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10651896,92,VITORIA,sirfetchd/slowbro/krookodile/greninja/corviknight/charizard,mandibuzz/clefable/toxapex/buzzwole/steelix/tyranitar,SWEE/TANK/TANK/SWEE/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651900,87,DERROTA,sirfetchd/slowbro/krookodile/greninja/corviknight/charizard,landorustherian/tapubulu/skarmory/kartana/tyranitar/slowkinggalar,SWEE/TANK/TANK/SWEE/TANK/TANK,SWEE/TANK/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10651914,1000,EMPATE,cloyster/deoxysdefense/golemalola/kommoo/landorustherian/scizormega,umbreon/mandibuzz/amoonguss/quagsire/ferrothorn/heatran,TANK/TANK/TANK/TANK/SWEE/UTIL,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651915,1000,EMPATE,tyranitar/latias/clefable/excadrill/skarmory/toxapex,stakataka/slowbro/gliscor/porygon2/abomasnow/reuniclus,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651916,168,VITORIA,venusaurmega/dondozo/garganacl/gastrodon/mandibuzz/chansey,ferrothorn/ragingbolt/pelipper/mantine/swampert/garchomp,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651923,96,VITORIA,blacephalon/charizard/florges/kartana/kommoo/corviknight,umbreon/amoonguss/mandibuzz/heatran/ferrothorn/quagsire,SWEE/TANK/TANK/SWEE/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651934,89,DERROTA,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,hydreigon/magnezone/aggronmega/serperior/komala/gliscor,TANK/SWEE/SWEE/TANK/TANK/TANK,TANK/TANK/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10651948,139,VITORIA,sableye/rillaboom/slowbro/heatran/gliscor/kommoo,rillaboom/kommoo/heatran/gliscor/sableye/slowbro,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651963,1000,EMPATE,ninetalesalola/arctozolt/mamoswine/heatran/slowkinggalar/landorustherian,landorustherian/cloyster/golemalola/scizormega/kommoo/deoxysdefense,TANK/TANK/TANK/TANK/TANK/SWEE,SWEE/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10651978,86,VITORIA,dubwool/tyranitar/rillaboom/clefable/excadrill/latiasmega,stakataka/reuniclus/slowbro/gliscor/porygon2/abomasnow,TANK/TANK/TANK/TANK/UTIL/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651979,1000,EMPATE,abomasnow/rillaboom/magnezone/moltres/krookodile/necrozma,landorustherian/ninetalesalola/heatran/mamoswine/arctozolt,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651982,97,DERROTA,pelipper/swampert/zapdos/manaphy/greninja/ferrothorn,corviknight/tapubulu/emboar/mamoswine/latias/pidgeot,TANK/TANK/TANK/TANK/SWEE/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651996,167,DERROTA,magneton/tapukoko/altariamega/kartana/gliscor/zarude,deoxysdefense/heatran/azumarill/excadrill/venusaur/meganium,SWEE/SWEE/TANK/SWEE/TANK/TANK,TANK/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10652004,111,VITORIA,aron/hippowdon/slowbro/corviknight/weavile/magnezone,blissey/dodrio/clefable/miltank/donphan/lopunny,TANK/TANK/TANK/TANK/SWEE/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652053,1000,EMPATE,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,ferrothorn/swampertmega/ragingbolt/garchomp/pelipper/mantine,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652086,128,DERROTA,azelf/golemalola/volcarona/tyranitar/serperior/aegislash,zapdosgalar/absol/pecharunt/gliscor/blissey/skarmory,SWEE/TANK/SWEE/TANK/TANK/SWEE,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652105,95,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,stakataka/abomasnow/reuniclus/slowbro/porygon2/gliscor,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652118,1000,EMPATE,meganium/deoxysdefense/heatran/venusaur/azumarill/excadrill,landorustherian/kartana/tyranitar/skarmory/slowkinggalar/tapubulu,TANK/TANK/TANK/TANK/TANK/UTIL,SWEE/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652139,80,VITORIA,audino/melmetal/landorustherian/urshifurapidstrike/kartana/latios,corviknight/tapubulu/duraludon/heatran/charizard/indeedeef,TANK/TANK/SWEE/UTIL/SWEE/UTIL,TANK/TANK/UTIL/TANK/TANK/TANK
battle-gen9nationaldex-10652154,1000,EMPATE,tyranitar/reuniclus/magnezone/clefable/toxapex/landorustherian,staraptor/sawsbuckwinter/slaking,TANK/TANK/TANK/TANK/TANK/SWEE,SWEE/TANK/TANK
battle-gen9nationaldex-10652158,122,VITORIA,lopunny/yanmega/magnezone/slowbro/tapufini/garchomp,ferrothorn/pelipper/swampert/ragingbolt/mantine/garchomp,TANK/UTIL/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652179,113,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,greninja/ferrothorn/pelipper/zapdos/swampertmega/manaphy,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652193,1000,EMPATE,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,deoxysdefense/azumarill/heatran/venusaur/excadrill/meganium,TANK/SWEE/SWEE/TANK/TANK/TANK,TANK/TANK/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10652195,157,VITORIA,sableye/rillaboom/slowbro/heatran/gliscor/kommoo,mandibuzz/tyranitar/clefable/buzzwole/steelix/toxapex,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652197,165,VITORIA,zapdosgalar/blissey/gliscor/skarmory/pecharunt/absol,rillaboom/sableye/slowbro/heatran/gliscor/kommoo,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652200,89,VITORIA,meganium/deoxysdefense/heatran/venusaur/azumarill/excadrill,cresselia/kingambit/porygon2/ursaluna/camerupt/hatterene,TANK/TANK/TANK/TANK/TANK/UTIL,TANK/TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10652248,95,VITORIA,venusaurmega/dondozo/garganacl/gastrodon/mandibuzz/chansey,ledian/kyurem/altaria/regirock/skorupi/oinkologne,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652250,1000,EMPATE,volcarona/mawile/garchomp/ferrothorn/zebstrika/landorustherian,zebstrika/landorustherian/ferrothorn/volcarona/garchomp/mawile,SWEE/TANK/TANK/TANK/SWEE/SWEE,SWEE/SWEE/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10652264,1000,EMPATE,tapulele/excadrill/hawlucha/serperior/gyarados/blacephalon,corviknight/charizard/heatran/duraludon/indeedeef/tapubulu,UTIL/UTIL/UTIL/TANK/TANK/SWEE,TANK/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10652294,1000,EMPATE,charizard/corviknight/heatran/kartana/gliscor/hydreigon,rotomwash/pelipper/scizor/seismitoad/omastar/amoonguss,TANK/TANK/TANK/SWEE/TANK/TANK,TANK/TANK/UTIL/TANK/TANK/TANK
battle-gen9nationaldex-10652333,140,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,rillaboom/gliscor/heatran/kommoo/sableye/slowbro,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652345,108,DERROTA,sableye/rillaboom/slowbro/heatran/gliscor/kommoo,rillaboom/clefable/dubwool/latiasmega/tyranitar/excadrill,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10652346,89,VITORIA,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,articuno/quagsire/abomasnow/weavile/mamoswine/piloswine,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10652348,87,DERROTA,steelix/tyranitar/toxapex/clefable/buzzwole/mandibuzz,rotomwash/omastar/scizor/pelipper,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10652364,1000,EMPATE,charizard/torkoal/venusaur/tapulele/greattusk/hawlucha,greattusk/charizard,TANK/TANK/TANK/UTIL/TANK/UTIL,TANK/TANK
battle-gen9nationaldex-10652369,1000,EMPATE,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,umbreon/ferrothorn/heatran/quagsire/amoonguss,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652378,147,VITORIA,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,rillaboom/sableyemega/heatran/gliscor/kommoo/slowbro,TANK/SWEE/SWEE/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652386,1000,EMPATE,mawile/tyranitar/hawlucha/tapulele/dragonite/araquanid,zebstrika/volcarona/landorustherian/mawilemega/ferrothorn/garchomp,TANK/TANK/UTIL/UTIL/TANK/TANK,SWEE/SWEE/SWEE/TANK/TANK/TANK
battle-gen9nationaldex-10652396,103,VITORIA,mawile/slowbro/porygon2/magnezone/cursola/landorustherian,umbreon/mandibuzz/quagsire/ferrothorn/heatran/amoonguss,TANK/TANK/TANK/TANK/SWEE/SWEE,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652424,279,DERROTA,mawile/tyranitar/hawlucha/tapulele/dragonite/araquanid,araquanid/hawlucha/tyranitar/mawile/tapulele/dragonite,TANK/TANK/UTIL/UTIL/TANK/TANK,TANK/UTIL/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10652426,1000,EMPATE,ledian/kyurem/skorupi/regirock/oinkologne/altaria,kyurem/arctozolt/ninetalesalola/sandslashalola/reuniclus/walrein,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652438,97,VITORIA,tyranitar/latias/clefable/excadrill/skarmory/toxapex,blissey/clefable/dodrio/donphan/lopunny/miltank,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/SWEE/TANK/TANK/TANK
battle-gen9nationaldex-10652450,1000,EMPATE,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,greninja/ferrothorn/zapdos/swampert/pelipper/manaphy,TANK/SWEE/SWEE/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652468,90,DERROTA,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,rillaboom/sableye/kommoo/gliscor/slowbro/heatran,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652478,1000,EMPATE,slaking/chansey/blissey/staraptor/exploud/sawsbuckwinter,magnezone/reuniclus/clefable,TANK/TANK/TANK/SWEE/TANK/TANK,TANK/TANK/TANK
battle-gen9nationaldex-10652479,1000,EMPATE,hatterene/porygon2/kingambit/cresselia/ursaluna/camerupt,ferrothorn/pelipper/swampert/ragingbolt/mantine,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652485,81,DERROTA,sirfetchd/slowbro/krookodile/greninja/corviknight/charizard,umbreon/mandibuzz/quagsire/ferrothorn/heatran/amoonguss,SWEE/TANK/TANK/SWEE/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652501,120,VITORIA,sirfetchd/slowbro/krookodile/greninja/corviknight/charizard,stakataka/abomasnow/slowbro/reuniclus/porygon2/gliscor,SWEE/TANK/TANK/SWEE/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652507,1000,EMPATE,latios/mukalola/magnezone/clefable/landorustherian/aegislash,ferrothorn/pelipper/swampertmega/mantine/ragingbolt,UTIL/TANK/TANK/TANK/SWEE/TANK,TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652521,104,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,corviknight/excadrill/dracozolt/slowbro/tyranitar/clefable,TANK/TANK/TANK/TANK/TANK/TANK,TANK/UTIL/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652522,82,VITORIA,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,greninja/ferrothorn/pelipper/manaphy/zapdos/swampert,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652555,84,DERROTA,volcarona/mawile/garchomp/ferrothorn/zebstrika/landorustherian,rillaboom/heatran/kommoo/gliscor/sableye/slowbro,SWEE/TANK/TANK/TANK/SWEE/SWEE,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652566,1000,EMPATE,hatterene/porygon2/kingambit/cresselia/ursaluna/camerupt,rillaboom/moltres/krookodile/magnezone/necrozma/abomasnow,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652571,91,VITORIA,ninetalesalola/reuniclus/walrein/arctozolt/kyurem/sandslashalola,landorustherian/ninetalesalola/arctozolt/heatran/mamoswine/slowkinggalar,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652584,84,VITORIA,pelipper/swampert/ragingbolt/ferrothorn/mantine/garchomp,greninja/slowbro/corviknight/krookodile/sirfetchd/charizard,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10652587,114,DERROTA,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,umbreon/mandibuzz/quagsire/ferrothorn/heatran/amoonguss,TANK/SWEE/SWEE/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652619,105,DERROTA,sableye/rillaboom/slowbro/heatran/gliscor/kommoo,hydreigon/magnezone/serperior/gliscor/komala,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10652620,124,VITORIA,infernape/houndoom/steelix/drifblim/ninetales/rotomheat,hydreigon/gliscor/serperior/komala/magnezone/aggronmega,UTIL/SWEE/TANK/TANK/TANK/TANK,TANK/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10652626,1000,EMPATE,ninetalesalola/reuniclus/walrein/arctozolt/kyurem/sandslashalola,cresselia/hatterene/kingambit/cameruptmega/porygon2,TANK/TANK/TANK/TANK/TANK/TANK,TANK/UTIL/TANK/TANK/TANK
battle-gen9nationaldex-10652643,82,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,excadrill/blacephalon/serperior/tapulele/gyarados/hawlucha,TANK/TANK/TANK/TANK/TANK/TANK,UTIL/SWEE/TANK/UTIL/TANK/UTIL
battle-gen9nationaldex-10652650,103,DERROTA,infernape/houndoom/steelix/drifblim/ninetales/rotomheat,magnezone/landorustherian/reuniclus/toxapex/tyranitar/clefable,UTIL/SWEE/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652678,88,VITORIA,charizard/corviknight/tapubulu/duraludon/heatran/indeedeef,toxapex/skarmory/clefable/excadrill/latias/tyranitar,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10652683,105,DERROTA,komala/magnezone/serperior/aggron/hydreigon/gliscor,mandibuzz/gastrodon/venusaur/chansey/dondozo/garganacl,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652706,88,VITORIA,pelipper/omastar/rotomwash/seismitoad/amoonguss/scizor,mandibuzz/toxapex/steelix/clefable/buzzwole/tyranitar,TANK/TANK/TANK/TANK/TANK/UTIL,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652713,121,DERROTA,pelipper/omastar/rotomwash/seismitoad/amoonguss/scizor,rillaboom/heatran/kommoo/sableye/gliscor/slowbro,TANK/TANK/TANK/TANK/TANK/UTIL,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652720,1000,EMPATE,emboar/latias/tapubulu/mamoswine/corviknight/pidgeot,ribombee/bisharp/garchomp/hoopaunbound/pinsir/serperior,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/UTIL/TANK/SWEE/SWEE/TANK
battle-gen9nationaldex-10652727,1000,EMPATE,sableyemega/rillaboom/slowbro/heatran/gliscor/kommoo,blissey/zapdos/dondozo/corviknight/garganacl/toxapex,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652728,1000,EMPATE,hatterene/porygon2/kingambit/cresselia/ursaluna/camerupt,blissey/dodrio/lopunny/donphan/clefable/miltank,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652769,90,DERROTA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,hydreigon/gliscor/magnezone/serperior/komala/aggron,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10652775,1000,EMPATE,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,rillaboom/tyranitar/latias/dubwool/excadrill,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10652780,1000,EMPATE,pelipper/swampert/ragingbolt/ferrothorn/mantine/garchomp,cresselia/camerupt/kingambit/hatterene/porygon2/ursaluna,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10652833,164,DERROTA,meganium/deoxysdefense/heatran/venusaur/azumarill/excadrill,tapukoko/zarude/altariamega/gliscor/kartana/magneton,TANK/TANK/TANK/TANK/TANK/UTIL,SWEE/TANK/TANK/TANK/SWEE/SWEE
battle-gen9nationaldex-10652853,97,DERROTA,charizard/torkoal/venusaur/tapulele/greattusk/hawlucha,mandibuzz/tyranitar/buzzwole/clefable/steelix/toxapex,TANK/TANK/TANK/UTIL/TANK/UTIL,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652901,82,VITORIA,dubwool/tyranitar/rillaboom/clefable/excadrill/latias,rotomwash/scizormega/amoonguss/pelipper/omastar/seismitoad,TANK/TANK/TANK/TANK/UTIL/TANK,TANK/UTIL/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652964,81,VITORIA,pelipper/omastar/rotomwash/seismitoad/amoonguss/scizor,mandibuzz/toxapex/steelix/clefable/buzzwole/tyranitar,TANK/TANK/TANK/TANK/TANK/UTIL,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652970,106,DERROTA,politoed/barraskewda/zapdos/ferrothorn/toxapex/kingdra,mandibuzz/venusaurmega/dondozo/gastrodon/chansey/garganacl,TANK/SWEE/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10652980,1000,EMPATE,pelipper/swampertmega/ragingbolt/ferrothorn/mantine/garchomp,landorustherian/magnezone/latios/clefable/aegislash/mukalola,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/UTIL/TANK/TANK/TANK
battle-gen9nationaldex-10653049,1000,EMPATE,magneton/tapukoko/altaria/kartana/gliscor/zarude,landorustherian/ninetalesalola/mamoswine/heatran/arctozolt/slowkinggalar,SWEE/SWEE/TANK/SWEE/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10653053,91,VITORIA,pelipper/swampert/ragingbolt/ferrothorn/mantine/garchomp,lopunny/magnezone/yanmega/tapufini/garchomp/slowbro,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/UTIL/TANK/TANK/TANK
