Batalha,Turnos,Resultado,Meu_Time,Time_Adversario,Meus_Papeis,Papeis_Adversario
battle-gen9nationaldex-10902637,102,DERROTA,aron/hippowdon/slowbro/corviknight/weavile/magnezone,scizor/krookodile/latias/mawile/gengar/cloyster,TANK/TANK/TANK/TANK/SWEE/TANK,UTIL/TANK/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10902668,91,VITORIA,sableye/rillaboom/slowbro/heatran/gliscor/kommoo,scizor/mawile/latias/krookodile/gengar/cloyster,TANK/TANK/TANK/TANK/TANK/TANK,UTIL/TANK/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10902677,94,DERROTA,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,rillaboom/heatran/sableye/slowbro/kommoo/gliscor,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902818,129,DERROTA,pelipper/omastar/rotomwash/seismitoad/amoonguss/scizor,blissey/corviknight/zapdos/dondozo/toxapex/garganacl,TANK/TANK/TANK/TANK/TANK/UTIL,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902828,115,DERROTA,komala/magnezone/serperior/aggron/hydreigon/gliscor,rillaboom/kommoo/heatran/gliscor/slowbro/sableye,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902865,81,DERROTA,aron/hippowdon/slowbro/corviknight/weavile/magnezone,landorustherian/latios/magnezone/aegislash/mukalola/clefable,TANK/TANK/TANK/TANK/SWEE/TANK,SWEE/UTIL/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10902888,87,DERROTA,pelipper/omastar/rotomwash/seismitoad/amoonguss/scizor,tapukoko/magneton/altariamega/kartana/zarude/gliscor,TANK/TANK/TANK/TANK/TANK/UTIL,SWEE/SWEE/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10902962,99,DERROTA,politoed/barraskewda/zapdos/ferrothorn/toxapex/kingdra,pelipper/swampertmega/zapdos/greninja/ferrothorn/manaphy,TANK/SWEE/TANK/TANK/TANK/TANK,TANK/TANK/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10902978,91,VITORIA,komala/magnezone/serperior/aggron/hydreigon/gliscor,umbreon/heatran/quagsire/ferrothorn/amoonguss/mandibuzz,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10903017,80,VITORIA,miltank/clefable/lopunny/blissey/dodrio/donphan,hydreigon/aggron/magnezone/gliscor/serperior/komala,TANK/TANK/TANK/TANK/SWEE/TANK,TANK/TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10903036,90,VITORIA,zapdosgalar/blissey/gliscor/skarmory/pecharunt/absol,tyranitar/latiasmega/clefable/dubwool/excadrill/rillaboom,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/TANK/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10903099,150,VITORIA,slowbro/tyranitar/clefable/excadrill/corviknight/dracozolt,rillaboom/gliscor/heatran/kommoo/sableye/slowbro,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10903291,124,VITORIA,zapdosgalar/blissey/gliscor/skarmory/pecharunt/absol,reuniclus/abomasnow/porygon2/gliscor/slowbro/stakataka,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10903319,114,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,landorustherian/magnezone/aegislash/latios/mukalola/clefable,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10903335,81,VITORIA,tyranitar/latias/clefable/excadrill/skarmory/toxapex,corviknight/tapubulu/charizard/indeedeef/heatran/duraludon,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10903436,131,VITORIA,miltank/clefable/lopunny/blissey/dodrio/donphan,blissey/dodrio/donphan/miltank/lopunny/clefable,TANK/TANK/TANK/TANK/SWEE/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10903437,89,VITORIA,politoed/barraskewda/zapdos/ferrothorn/toxapex/kingdra,ninetalesalola/arctozolt/slowkinggalar/heatran/landorustherian/mamoswine,TANK/SWEE/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10903443,135,DERROTA,magneton/tapukoko/altaria/kartana/gliscor/zarude,landorustherian/tyranitar/kartana/slowkinggalar/skarmory/tapubulu,SWEE/SWEE/TANK/SWEE/TANK/TANK,SWEE/TANK/SWEE/TANK/TANK/TANK
battle-gen9nationaldex-10903467,84,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,blissey/corviknight/zapdos/dondozo/toxapex/garganacl,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10903494,123,DERROTA,gallade/xurkitree/tapukoko/gliscor/heatran/serperior,reuniclus/porygon2/gliscor/abomasnow/slowbro/stakataka,UTIL/SWEE/SWEE/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10903503,109,VITORIA,komala/magnezone/serperior/aggron/hydreigon/gliscor,tapukoko/altaria/gliscor/magneton/kartana/zarude,UTIL/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/SWEE/SWEE/TANK
battle-gen9nationaldex-10903521,82,DERROTA,dubwool/tyranitar/rillaboom/clefable/excadrill/latias,urshifurapidstrike/mandibuzz/nidoking/alakazam/tapulele,TANK/TANK/TANK/TANK/UTIL/TANK,UTIL/TANK/TANK/SWEE/UTIL
battle-gen9nationaldex-10903624,80,DERROTA,gallade/xurkitree/tapukoko/gliscor/heatran/serperior,tyranitar/excadrill/corviknight/dracozolt/slowbro/clefable,UTIL/SWEE/SWEE/TANK/TANK/TANK,TANK/UTIL/TANK/TANK/TANK/TANK
